Code,Name_KR,Name_EN,Category(존재),Subcategory,Main_Function(기능),Ambiguity,Note,Description(사전식 설명),CHECK_DUP,Has_Rule,Rule_ID,,intensity,Volatility,Dominance,Pairing,Avoid_pairing,Usage_position,,,,,
240,사과산/주석산 계열 산미,Malic / Tartaric Acid System,Acid,Acid,Acid,-,상위군,"과일 기반 유기산(사과산, 주석산 등)에 의해 형성되는 부드럽거나 드라이한 산미 계열",-,-,-,,,,,,,,,,,,
241,사과산 중심 산미,Malic Acid Dominant,Acid,Malic / Tartaric Acid System,Acid,-,소분류,부드럽고 둥글며 청량한 과일 산미를 형성하는 계열,-,-,-,,,,,,,,,,,,
241.01,사과,Apple,Acid,Malic Acid Dominant,Acid,-,대표 재료,사과산 기반의 부드럽고 깔끔한 산미를 제공하는 과일,-,-,-,,,,,,,,,,,,
241.02,배,Pear,Acid,Malic Acid Dominant,Acid,-,완만한 산미,사과보다 더 부드럽고 약한 산미를 가진 과일,-,-,-,,,,,,,,,,,,
242,주석산 중심 산미,Tartaric Acid Dominant,Acid,Malic / Tartaric Acid System,Acid,-,소분류,보다 날카롭고 드라이한 과일 산미를 형성하는 계열,-,-,-,,,,,,,,,,,,
242.01,포도,Grape,Acid,Tartaric Acid Dominant,Acid,-,대표 재료,주석산 기반으로 와인과 유사한 드라이한 산미를 형성,-,-,-,,,,,,,,,,,,
242.02,와인,Wine,Acid,Tartaric Acid Dominant,Acid,-,가공 산미,발효를 통해 주석산 기반 산미가 강조된 액체 형태의 산미 재료,-,-,-,,,,,,,,,,,,
243,복합 유기산 산미,Complex Organic Acid,Acid,Malic / Tartaric Acid System,Acid,복합 맛 존재,복합 산미,여러 유기산이 결합되어 입체적이고 깊은 산미를 형성하는 계열,-,-,-,,,,,,,,,,,,
243.01,오미자,Schisandra Berry,Acid,Complex Organic Acid,Acid,단맛/쓴맛/떫은맛 포함,다층 산미,"산미를 중심으로 단맛, 쓴맛, 떫은맛이 함께 존재하는 복합 기능성 열매",-,-,-,,,,,,,,,,,,
243.02,석류,Pomegranate,Acid,Complex Organic Acid,Acid,약한 단맛 동반,과실 복합 산미,과일 특유의 복합적인 산미와 단맛이 함께 존재하는 재료,-,-,-,,,,,,,,,,,,
243.03,타마린드,Tamarind,Acid,Complex Organic Acid,Acid,단맛 동반,강한 복합 산미,강한 산미와 단맛이 동시에 존재하는 농축형 과실 재료,-,-,-,,,,,,,,,,,,
250,분리 산미,Isolated Acid,Acid,Isolated Acid,Acid,-,중분류,산 성분을 분리해 직접 조정하는 산미 구조,-,-,-,,,,,,,,,,,,
250.01,구연산 분말,Citric Acid Powder,Acid,Isolated Acid,Acid,-,실제 재료,분리된 구연산 성분으로 산미 기능을 직접 조정하는 재료,-,-,-,,,,,,,,,,,,
250.02,주석산 분말,Tartaric Acid Powder,Acid,Isolated Acid,Acid,-,실제 재료,분리된 주석산 성분으로 산미 기능을 직접 조정하는 재료,-,-,-,,,,,,,,,,,,
250.03,사과산 분말,Malic Acid Powder,Acid,Isolated Acid,Acid,-,실제 재료,분리된 사과산 성분으로 산미 기능을 직접 조정하는 재료,-,-,-,,,,,,,,,,,,
250.04,젖산 분말,Lactic Acid Powder,Acid,Isolated Acid,Acid,-,실제 재료,분리된 젖산 성분으로 산미 기능을 직접 조정하는 재료,-,-,-,,,,,,,,,,,,
300,단맛,Sweet,Sweet,Sweet (단맛),Sweet,-,상위군,음식에 에너지감과 기호성을 더하며 다른 맛을 완화하고 균형을 조정하는 기본 맛 요소,-,-,-,,,,,,,,,,,,
310,당류,Sugars,Sweet,Sugar (당류),Sweet,-,상위군,단당류 및 이당류를 중심으로 직접적인 단맛을 제공하는 기본 당 성분 계열,-,-,-,,,,,,,,,,,,
310.00,설탕,Sugar,Sweetness,Basic Sugar,Sweet,대표 당류,기본 단맛,대표적인 단맛 조절 재료,-,-,-,,,,,,,High,Low,High,"과일,버터",강한 쓴맛,전반
311,백설탕,White Sugar,Sweet,Sugar (당류),Sweet,-,정제형,정제된 자당 형태로 가장 기본적이고 순수한 단맛을 제공하는 대표 당류,-,-,-,,,,,,,,,,,,
312,원당,Raw Sugar,Sweet,Sugar (당류),Sweet+Flavor,-,비정제형,정제 과정을 최소화하여 사탕수수의 풍미가 일부 남아있는 당류로 단맛과 함께 자연스러운 향을 제공,-,-,-,,,,,,,,,,,,
313,슈가파우더,Powdered Sugar,Sweet,Sugar (당류),Sweet,-,분말형,설탕을 곱게 분쇄한 형태로 빠르게 녹으며 부드러운 단맛을 제공하는 당류,-,-,-,,,,,,,,,,,,
314,흑당/흑설탕,Dark Sugar,Sweet,Sugar (당류),Sweet+Flavor,Sweet vs Flavor,농축형,당밀 함량으로 인해 진하고 깊은 단맛과 풍미를 제공하는 당류,-,-,-,,,,,,,,,,,,
320,시럽,Syrup,Sweet,Syrup (시럽),Sweet,-,상위군,액상 형태로 용해된 당류로 빠르게 단맛을 전달하고 혼합이 용이한 당 계열,-,-,-,,,,,,,,,,,,
321,물엿,Corn Syrup,Sweet,Syrup (시럽),Sweet,-,기본형,전분을 분해하여 만든 점성이 있는 시럽으로 단맛과 점도를 제공,-,-,-,,,,,,,,,,,,
322,올리고당,Oligosaccharide Syrup,Sweet,Syrup (시럽),Sweet,-,저당형,소화가 느리고 상대적으로 덜 단 단맛을 제공하는 시럽,-,-,-,,,,,,,,,,,,
323,카라멜시럽,Caramel Syrup,Sweet,Syrup (시럽),Sweet+Caramel,-,가열형,설탕을 가열하여 만든 시럽으로 쓴맛과 깊은 단맛을 동시에 제공,-,-,-,,,,,,,,,,,,
324,과일시럽,Fruit Syrup,Sweet,Syrup (시럽),Sweet+Acid,Acid vs Sweet,과일형,과일을 기반으로 만들어 단맛과 산미를 동시에 제공하는 시럽,-,-,-,,,,,,,,,,,,
324.01,케찹,Ketchup,Sweet,Syrup (시럽),Sweet+Acid,Acid vs Sweet,소스형,토마토를 기반으로 단맛과 산미가 결합된 대표적인 조미 소스,-,-,-,,,,,,,,,,,,
325,흑당시럽,Brown Sugar Syrup,Sweet,Syrup (시럽),Sweet,-,액상형,흑당을 녹여 만든 액상 감미료로 진한 캐러멜 풍미 제공,-,-,-,,,,,,,,,,,,
326,요리용 발효 시럽,Cooking Fermented Syrup,Ingredient,시럽 (발효형),Sweet+Aroma,조미료 vs 술 경계,알코올 기반 단맛 보정 재료,"당분과 알코올을 포함한 발효 액상으로, 요리에서 단맛을 부드럽게 보정하고 잡내를 제거하며 풍미를 확산시키는 역할을 한다.",N,Y,-,50,70,중,"고기, 생선, 간장, 마늘, 생강","강한 산미(식초 과다), 디저트 조합",중반 투입 / 가열 전 단계,,,,,,
326.01,맛술,Cooking Wine (Mirin-type),Ingredient,요리용 발효 시럽,Sweet+Aroma+Deodorize,미림/청주와 혼동,잡내 제거 + 단맛 보정 대표 재료,"쌀 또는 당류를 발효시켜 만든 요리용 조미액으로, 단맛과 알코올을 통해 재료의 잡내를 제거하고 맛을 부드럽게 정리하는 데 사용된다.",N,Y,-,55,75,중,"육류, 생선, 간장 베이스 요리","과한 단맛 요리, 디저트",초반 또는 중반 투입 (가열 필수),,,,,,
326.02,미림,Mirin,Sweetness,Cooking Rice Wine,Sweet+Umami,맛술과 실제 behavior차이 존재,발효 단향,단맛과 발효향을 가진 일본식 조리용 술,-,-,-,,,,,,,Medium,Medium,Medium,"간장,생강",강한 산미,중반
326.03,청주,Cheongju,Sweetness,Cooking Rice Wine,Alcoholic Aroma,조리 기능 중심 발효액. Sweet 축 내 임시 배치 상태,잡내 제거용 향,조리 시 잡내 제거와 향 조절에 사용되는 곡물 발효주,-,-,-,,,,,,,Low,High,Medium,"생강,대파",강한 단맛,초반
330,천연 감미,Natural Sweetener,Sweet,Natural Sweetener (천연 감미),Sweet,-,상위군,자연 원료에서 직접 추출되거나 가공된 감미료로 단맛과 함께 고유의 풍미를 제공,-,-,-,,,,,,,,,,,,
331,꿀,Honey,Sweet,Natural Sweetener (천연 감미),Sweet,-,동물성,벌이 꽃의 꿀을 채집하여 만든 천연 감미료로 풍부한 향과 점도를 가짐,-,-,-,,,,,,,,,,,,
332,메이플시럽,Maple Syrup,Sweet,Natural Sweetener (천연 감미),Sweet,-,수액,단풍나무 수액을 농축하여 만든 천연 감미료로 깊고 부드러운 단맛을 제공,-,-,-,,,,,,,,,,,,
333,아가베시럽,Agave Syrup,Sweet,Natural Sweetener (천연 감미),Sweet,-,식물추출,아가베 식물에서 추출한 천연 감미료로 깔끔하고 부드러운 단맛을 제공,-,-,-,,,,,,,,,,,,
334,코코넛 슈가,Coconut Sugar,Sweet,Natural Sweetener (천연 감미),Sweet,-,식물유래,코코넛 꽃 수액을 건조시켜 만든 감미료로 캐러멜과 유사한 풍미를 가짐,-,-,-,,,,,,,,,,,,
335,대추 시럽,Date Syrup,Sweet,Natural Sweetener (천연 감미),Sweet,-,과일유래,대추를 농축하여 만든 천연 감미료로 진하고 깊은 과일 단맛을 제공,-,-,-,,,,,,,,,,,,
340,과일 기반 단맛,Fruit-Based Sweetness,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,상위군,과일 자체 또는 과일 농축물에서 오는 단맛으로 산미와 향을 함께 동반하는 감미 계열,-,-,-,,,,,,,,,,,,
341,신선 과일,Fresh Fruit,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,비가공,가공되지 않은 신선한 과일에서 자연적으로 발생하는 단맛,-,-,-,,,,,,,,,,,,
342,건과일,Dried Fruit,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,수분제거,수분이 제거되어 단맛이 농축된 과일 형태,-,-,-,,,,,,,,,,,,
343,과일 퓨레,Fruit Puree,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,분쇄형,과일을 갈아 만든 반액상 형태로 단맛과 질감을 함께 제공,-,-,-,,,,,,,,,,,,
344,과일 농축액,Fruit Concentrate,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,농축형,수분을 제거하여 단맛이 강화된 과일 추출물,-,-,-,,,,,,,,,,,,
344.01,매실청,Plum Extract Syrup,Sweet,Fruit Concentrate,Sweet+Acid,단맛/산미 복합,과실 농축 조미액,매실을 당과 함께 숙성 또는 농축하여 만든 액상 조미 재료로 단맛과 산미를 함께 제공하며 잡내 완화와 풍미 균형 조정에 사용된다.,,,,,,,,,,,,,,,
345,과일 주스,Fruit Juice,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,액상형,과일을 압착하여 얻은 액상으로 단맛과 산미를 함께 제공,-,-,-,,,,,,,,,,,,
346,과일 잼/프리저브,Fruit Jam / Preserve,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,가공형,과일에 당을 추가하여 조리한 형태로 농축된 단맛과 점도를 가짐,-,-,-,,,,,,,,,,,,
347,과일 소스,Fruit Sauce,Sweet,Fruit Sweetness (과일 기반 단맛),Sweet,-,조리형,과일을 기반으로 조리하여 만든 소스로 단맛과 향을 강화한 형태,-,-,-,,,,,,,,,,,,
350,대체 감미료,Alternative Sweetener,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,상위군,설탕을 대체하여 단맛을 제공하는 감미료로 저칼로리 또는 기능성 목적에 사용됨,-,-,-,,,,,,,,,,,,
351,인공 감미료,Artificial Sweetener,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,합성,화학적으로 합성된 감미료로 매우 강한 단맛과 낮은 칼로리를 가짐,-,-,-,,,,,,,,,,,,
351.01,아스파탐,Aspartame,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,합성,대표적인 인공 감미료로 설탕 대비 높은 단맛과 낮은 칼로리를 가짐,-,-,-,,,,,,,,,,,,
351.02,수크랄로스,Sucralose,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,합성,설탕을 기반으로 변형된 인공 감미료로 열에 안정적이고 강한 단맛을 가짐,-,-,-,,,,,,,,,,,,
352,천연 대체 감미료,Natural Alternative Sweetener,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,천연유래,자연 유래 성분에서 추출된 대체 감미료로 비교적 자연스러운 단맛을 제공,-,-,-,,,,,,,,,,,,
352.01,스테비아,Stevia,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,천연유래,식물 유래 성분에서 추출한 대체 감미료로 강한 단맛과 낮은 칼로리를 제공,-,-,-,,,,,,,,,,,,
353,당알코올,Sugar Alcohol,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,저칼로리,"자일리톨, 에리스리톨 등 당과 알코올의 중간 성질을 가진 감미료",-,-,-,,,,,,,,,,,,
353.01,자일리톨,Xylitol,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,저칼로리,청량감이 강하고 충치 억제 기능으로 잘 알려진 당알코올,-,-,-,,,,,,,,,,,,
353.02,에리스리톨,Erythritol,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,저칼로리,칼로리가 거의 없고 깔끔한 단맛을 가지는 당알코올,-,-,-,,,,,,,,,,,,
354,고강도 감미료,High-Intensity Sweetener,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,고농축,소량으로 강한 단맛을 내는 감미료로 설탕 대비 수십~수백 배 단맛을 가짐,-,-,-,,,,,,,,,,,,
355,기능성 감미료,Functional Sweetener,Sweet,Alternative Sweetener (대체 감미료),Sweet,-,건강기능,"혈당 조절, 저GI 등 특정 기능을 가진 감미료 계열",-,-,-,,,,,,,,,,,,
400,쓴맛,Bitter,Bitter,Bitter (쓴맛),Bitter,-,상위군,혀에서 불쾌 또는 자극적으로 느껴질 수 있으나 맛의 균형과 깊이를 형성하는 기본 맛 요소,-,-,-,STATUS = HOLD / RESEARCH,,,,,,,,,,,
410,원재료 쓴맛,Ingredient Bitter,Bitter,Bitter (쓴맛),Bitter,-,상위군,재료 자체에 포함된 성분으로 인해 발생하는 쓴맛 계열,-,-,-,,,,,,,,,,,,
411,카페인 쓴맛,Caffeine Bitter,Bitter,Ingredient Bitter (원재료 쓴맛),Bitter,-,알칼로이드,"커피, 차 등에 포함된 카페인에서 발생하는 쓴맛",-,-,-,,,,,,,,,,,,
412,폴리페놀 쓴맛,Polyphenol Bitter,Bitter,Ingredient Bitter (원재료 쓴맛),Bitter,-,폴리페놀,"초콜릿, 차, 와인 등에서 나타나는 떫고 쓴 성질의 맛",-,-,-,,,,,,,,,,,,
413,채소 쓴맛,Vegetable Bitter,Bitter,Ingredient Bitter (원재료 쓴맛),Bitter,-,식물유래,"케일, 치커리 등 식물성 재료에서 자연적으로 발생하는 쓴맛",-,-,-,,,,,,,,,,,,
420,가공 쓴맛,Processed Bitter,Bitter,Bitter (쓴맛),Bitter,-,상위군,조리 또는 가공 과정에서 생성되거나 강화되는 쓴맛 계열,-,-,-,,,,,,,,,,,,
421,가열 쓴맛,Heat-Induced Bitter,Bitter,Processed Bitter (가공 쓴맛),Bitter,-,가열형,과도한 가열이나 탄화로 인해 발생하는 쓴맛,-,-,-,,,,,,,,,,,,
422,농축 쓴맛,Concentrated Bitter,Bitter,Processed Bitter (가공 쓴맛),Bitter,-,농축형,재료를 농축하면서 상대적으로 강조되는 쓴맛,-,-,-,,,,,,,,,,,,
423,추출 쓴맛,Extracted Bitter,Bitter,Processed Bitter (가공 쓴맛),Bitter,-,추출형,"과도한 추출로 인해 발생하는 쓴맛 (커피, 차 등)",-,-,-,,,,,,,,,,,,
500,매운맛 / 자극,Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,혀와 입안에 물리적 자극을 주어 매운맛과 열감을 느끼게 하는 재료군,-,-,-,,,,,,,,,,,,
510,캡사이신 자극,Capsaicin Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,고추류의 캡사이신 성분에서 발생하는 대표적인 매운 자극 계열,-,-,-,,,,,,,,,,,,
511,생고추,Fresh Chili,Heat,Capsaicin Heat (캡사이신 자극),Heat,-,신선형,생고추에서 오는 직접적이고 신선한 캡사이신 자극을 제공하는 재료,-,-,-,,,,,,,,,,,,
512,건고추,Dried Chili,Heat,Capsaicin Heat (캡사이신 자극),Heat,-,건조형,건조 과정을 거쳐 풍미와 자극이 농축된 고추 재료,-,-,-,,,,,,,,,,,,
512.01,페퍼론치노,Peperoncino,Heat,Capsaicin Heat (캡사이신 자극),Heat+Aroma,-,건조 고추형,"이탈리아 요리에서 자주 사용되는 건조 고추 재료로, 매운 자극과 함께 건조 고추 특유의 향을 제공한다.",,,,,Primary Function,,,,,,,,,,
513,고추 분말,Chili Powder,Heat,Capsaicin Heat (캡사이신 자극),Heat,-,분말형,건고추를 분쇄하여 만든 형태로 매운맛을 빠르게 분산시키는 재료,-,-,-,,Secondary Function 추후 기능 분리,,,,,,,,,,
513.01,고춧가루,Chili Powder,Heat,Capsaicin Heat (캡사이신 매운맛),Heat,,분말형,분말 형태로 직접 조절이 쉬운 대표적인 고추형 매운 재료,,,,,,,,,,,,,,,
513.02,케이엔페퍼,Cayenne Pepper,Heat,Capsaicin Heat (캡사이신 매운맛),Heat,,고강도 분말형,향보다 직접적인 매운 자극 비중이 큰 고강도 고추 분말,,,,,,,,,,,,,,,
513.03,베트남 매운 고춧가루,Vietnamese Hot Chili Powder,Heat,Capsaicin Heat (캡사이신 매운맛),Heat,,초강도 분말형,매우 직접적이고 강한 캡사이신 자극을 가진 고추 분말,,,,,,,,,,,,,,,
513.04,파프리카가루,Paprika Powder,Heat,Capsaicin Heat (캡사이신 매운맛),Heat,,저자극 분말형 / Secondary: Aroma,"고추 기반의 분말 재료로 강한 매운맛보다는 색과 부드러운 향, 약한 자극을 제공한다",,,,,,,,,,,,,,,
514,칠리페이스트,Chili Paste,Heat,Capsaicin Heat (캡사이신 자극),Heat+Umami,Heat vs Umami,페이스트형,고추를 갈아 만든 형태로 매운맛과 함께 점도와 풍미를 제공하는 재료,-,-,-,,,,,,,,,,,,
514.01,불닭소스,Buldak Sauce,Heat,칠리페이스트,캡사이신 자극,낮음,삼양 불닭 계열 제품,"고추 추출물 기반의 강한 매운맛과 감칠맛, 단맛이 결합된 한국식 매운 소스. 볶음, 디핑, 비빔 등에 사용됨.",,TRUE,RULE_51401,95,65,88,"치즈,마요네즈,닭고기,라면,계란",과도한 산미 재료,마감 / 코팅 / 비빔,,,,,,
520,피페린 자극,Piperine Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,후추류에서 발생하는 따끔하고 지속적인 매운 자극 계열,-,-,-,,,,,,,,,,,,
521,후추,Pepper,Heat,Piperine Heat (피페린 자극),Heat+Aroma,통후추/가루후추 형태 차이 있음,분쇄도는 form/state에서 처리,"후추나무 열매를 건조한 향신성 자극 재료로, 피페린 기반의 매운 자극과 향을 제공한다.",N,Y,-,state system 보완,,,,,,,,,,,
522,화이트페퍼,White Pepper,Heat,Piperine Heat (피페린 자극),Heat,-,종류,껍질을 제거한 후추로 보다 날카롭고 직선적인 자극을 제공,-,-,-,,,,,,,,,,,,
523,그린페퍼,Green Pepper,Heat,Piperine Heat (피페린 자극),Heat,-,종류,덜 익은 후추로 신선하고 부드러운 자극과 향을 제공,-,-,-,,,,,,,,,,,,
530,진저롤 자극,Gingerol Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,생강 계열에서 발생하는 따뜻하고 퍼지는 매운 자극,-,-,-,,,,,,,,,,,,
531,생강,Fresh Ginger,Heat,Gingerol Heat (진저롤 자극),Heat,-,신선형,생강 고유의 진저롤 성분으로 따뜻하고 부드러운 자극을 제공,-,-,-,,,,,,,,,,,,
532,건생강,Dried Ginger,Heat,Gingerol Heat (진저롤 자극),Heat,-,건조형,건조 과정에서 쇼가올 성분으로 변하며 더 강한 자극을 가지는 생강,-,-,-,,,,,,,,,,,,
533,생강가루,Ginger Powder,Heat,Gingerol Heat (진저롤 자극),Heat,-,분말형,생강을 분쇄하여 빠르게 퍼지는 자극을 제공하는 형태,-,-,-,,,,,,,,,,,,
534,생강페이스트,Ginger Paste,Heat,Gingerol Heat (진저롤 자극),Heat,-,페이스트형,생강을 갈아 만든 형태로 향과 자극을 동시에 제공,-,-,-,,,,,,,,,,,,
535,갈랑갈,Galangal,Heat,Gingerol Heat (진저롤 자극),Heat,-,뿌리형,생강과 유사한 계열로 따뜻하고 향이 강한 자극을 제공하는 뿌리 향신료,-,-,-,,,,,,,,,,,,
540,겨자 자극,Mustard Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,코를 찌르는 듯한 휘발성 자극을 주는 겨자 계열 매운맛,-,-,-,,,,,,,,,,,,
541,겨자씨,Mustard Seed,Heat,Mustard Heat (겨자 자극),Heat,-,원형,겨자 식물의 씨앗으로 씹거나 분쇄 시 자극 성분이 활성화됨,-,-,-,,,,,,,,,,,,
542,머스타드,Mustard Sauce,Heat,Mustard Heat (겨자 자극),Heat+Acid,Heat vs Acid,소스형,겨자씨를 갈아 식초 등과 혼합한 형태로 자극과 산미를 동시에 제공,-,-,-,,,,,,,,,,,,
543,와사비,Wasabi,Heat,Mustard Heat (겨자 자극),Heat,-,페이스트형,강한 휘발성 자극으로 코를 찌르는 매운맛을 제공하는 재료,-,-,-,,,,,,,,,,,,
544,홀스래디시,Horseradish,Heat,Mustard Heat (겨자 자극),Heat,-,뿌리형,갈아서 사용할 때 강한 휘발성 자극을 내는 뿌리 재료,-,-,-,,,,,,,,,,,,
550,마비 자극,Tingling Heat,Heat,Heat (매운맛 / 자극),Heat,-,상위군,혀와 입안에 얼얼하고 저린 감각을 주는 자극 계열,-,-,-,,,,,,,,,,,,
551,화자오 / 산초,Sichuan Pepper / Sansho,Heat,Tingling Heat (마비 자극),Heat,-,향신료형,혀를 얼얼하게 만드는 대표적인 마비 자극 재료로 향과 자극을 동시에 제공,-,-,-,,,,,,,,,,,,
552,산쇼,Sansho,Heat,Tingling Heat (마비 자극),Heat,-,향신료형,일본 계열 산초로 상쾌한 향과 저린 자극을 함께 제공,-,-,-,,,,,,,,,,,,
553,화자오 오일,Sichuan Pepper Oil,Heat,Tingling Heat (마비 자극),Heat,-,오일형,화자오의 마비 성분을 오일에 추출한 형태로 빠르게 자극을 퍼뜨리는 재료,-,-,-,,,,,,,,,,,,
554,산초가루,Ground Sichuan Pepper,Heat,Tingling Heat (마비 자극),Heat,-,분말형,산초/화자오를 분쇄하여 전체적으로 균일한 마비 자극을 제공하는 형태,-,-,-,,,,,,,,,,,,
600,허브/향채,Herb & Aromatic,Herb & Aromatic,Herb & Aromatic,Aroma,-,상위군,"잎, 줄기, 채소 등에서 향을 제공하거나 향의 베이스를 형성하는 재료 계열로, 요리에 방향성과 첫 인상을 부여함",-,-,-,,,,,,,,,,,,
610,연한 잎 허브,Soft Leaf Herb,Herb & Aromatic,Herb (잎 허브),Aroma,-,하위군,부드러운 잎을 사용하는 허브로 신선하고 가벼운 향을 제공하며 생사용 또는 마무리 향에 주로 사용됨,-,-,-,,,,,,,,,,,,
610.01,파슬리,Parsley,Herb & Aromatic,Soft Leaf Herb,Aroma,-,청량 허브,상큼하고 신선한 풀향을 제공하는 대표적인 잎 허브로 가니시 및 향 보강에 사용됨,-,-,-,,,,,,,,,,,,
610.02,바질,Basil,Herb & Aromatic,Soft Leaf Herb,Aroma,-,달콤한 허브향,"달콤하고 상쾌한 향을 가진 대표적인 잎 허브로 토마토 요리, 샐러드, 페스토에 사용됨",-,-,-,,,,,,,,,,,,
610.03,고수,Cilantro,Herb & Aromatic,Soft Leaf Herb,Aroma,호불호 강함,강한 개성향,상큼하고 비누향/시트러스향으로 인식될 수 있는 강한 개성의 잎 허브로 아시아·중남미 요리에 사용됨,-,-,-,,,,,,,,,,,,
610.04,민트,Mint,Herb & Aromatic,Soft Leaf Herb,Aroma,-,청량 허브,"시원하고 청량한 향을 가진 잎 허브로 음료, 디저트, 샐러드 및 향 보강에 사용됨",-,-,-,,,,,,,,,,,,
610.05,딜,Dill,Herb & Aromatic,Soft Leaf Herb,Aroma,-,청량 허브,"상큼하고 청량한 풀향과 약간의 아니스 계열 향을 가진 잎 허브로 생선, 샐러드에 주로 사용됨",-,-,-,,,,,,,,,,,,
610.06,차이브,Chives,Herb & Aromatic,Soft Leaf Herb,Aroma,-,은은한 파향,가늘고 부드러운 잎으로 은은한 양파·파 향을 제공하며 생으로 마무리 향에 주로 사용됨,-,-,-,,,,,,,,,,,,
610.07,타라곤,Tarragon,Herb & Aromatic,Soft Leaf Herb,Aroma,-,아니스 향 허브,"아니스(감초) 계열의 달콤하고 은은한 향을 가진 잎 허브로 생선, 닭, 소스에 사용됨",-,-,-,,,,,,,,,,,,
610.08,처빌,Chervil,Herb & Aromatic,Soft Leaf Herb,Aroma,-,은은한 아니스 향,"파슬리와 유사하나 아니스 계열의 은은한 달콤한 향을 가진 부드러운 잎 허브로 샐러드, 소스에 사용됨",-,-,-,,,,,,,,,,,,
610.09,보리지,Borage,Herb & Aromatic,Soft Leaf Herb,Aroma,-,오이향 허브,"잎과 꽃에서 오이와 유사한 상큼한 향을 제공하는 부드러운 허브로 샐러드, 음료, 가니시에 사용됨",-,-,-,,,,,,,,,,,,
610.10,라벤더,Lavender,Herb,Edible Flower Herb,Aroma,-,플로럴 향,달콤하고 부드러운 꽃향을 중심으로 향을 부여하는 허브로 디저트 및 음료에 사용됨,-,-,-,,,,,,,,,,,,
610.11,히비스커스,Hibiscus,Herb,Edible Flower Herb,Aroma+Acid,-,산미 꽃향,산미와 꽃향을 동시에 제공하는 식용 꽃 허브로 차 및 요리에 사용됨,-,-,-,,,,,,,,,,,,
610.12,장미,Rose,Herb,Edible Flower Herb,Aroma,-,플로럴 향,강한 꽃향과 은은한 단향을 가진 대표적인 식용 꽃 허브로 디저트와 음료에 사용됨,-,-,-,,,,,,,,,,,,
610.13,네스티리움,Nasturtium,Herb,Edible Flower Herb,Aroma+Heat,-,매운 꽃향,꽃과 잎에서 머스타드 계열의 매운 향과 신선한 향을 동시에 제공하는 식용 꽃 허브,-,-,-,,,,,,,,,,,,
620,목질/강한 허브 향,Woody / Strong Herb,Aroma & Herb,Herb,Aroma,-,상위군,목질감과 강한 허브향을 가지며 주로 육류·스튜·오일 베이스에 사용되는 허브 계열,-,-,-,,,,,,,,,,,,
621,송진/수목향 허브,Resinous / Piney Herb,Aroma & Herb,Woody Herb,Aroma,-,소분류,"숲, 소나무, 송진 느낌의 날카롭고 직선적인 허브향 계열",-,-,-,,,,,,,,,,,,
621.01,로즈마리,Rosemary,Aroma & Herb,Resinous / Piney Herb,Aroma,-,대표 재료,"강한 송진향과 직선적인 허브향을 가지며 육류, 오일, 로스팅 요리에 적합",-,-,-,,,,,,,,,,,,
621.02,솔잎,Pine Needle,Aroma & Herb,Resinous / Piney Herb,Aroma,-,수지향,"소나무 특유의 청량하고 수지감 있는 향으로 차, 향첨가, 훈연 등에 활용",-,-,-,,,,,,,,,,,,
622,드라이/세이보리 허브,Dry / Savory Herb,Aroma & Herb,Woody Herb,Aroma,-,소분류,건조하고 깊은 허브향으로 요리의 베이스 향을 형성하는 안정적인 허브 계열,-,-,-,,,,,,,,,,,,
622.01,타임,Thyme,Aroma & Herb,Dry / Savory Herb,Aroma,-,대표 재료,"드라이하고 깊은 허브향으로 육류, 스튜, 소스에 베이스 향으로 사용됨",-,-,-,,,,,,,,,,,,
622.02,세이지,Sage,Aroma & Herb,Dry / Savory Herb,Aroma,-,강한 허브향,묵직하고 드라이한 허브향으로 지방과 잘 어울림,-,-,-,,,,,,,,,,,,
622.03,월계수잎,Bay Leaf,Aroma & Herb,Dry / Savory Herb,Aroma,-,우림향,오랜 시간 끓이면서 은은하게 베이스 향을 형성하는 허브,-,-,-,,,,,,,,,,,,
623,따뜻한 우디 허브,Warm Woody Herb,Aroma & Herb,Woody Herb,Aroma,-,소분류,부드럽고 약간 달큰한 허브향으로 블렌딩에 유리한 허브 계열,-,-,-,,,,,,,,,,,,
