code,name_kr,salty,umami,acid,sweet,bitter,heat,herb,spice,lipid,texture,note,impact_speed,Lasting_power
640.02,마늘종,0,0,0,0,0,5,75,5,0,10,마늘 계열 향채,,
640.03,핑거루트,0,0,0,0,0,70,80,10,0,10,생강 유사 향채,,
640.04,캄퍼루트,0,0,0,0,5,20,85,10,0,10,캠퍼 향 특성,,
700,향신료,0,0,0,0,0,0,0,100,0,5,건조된 향신료 카테고리 대표값,,
710,씨앗 향신료,0,0,0,0,5,5,0,95,0,5,씨앗 기반의 따뜻하고 고소한 향,,
711,따뜻한/흙향 씨앗 향신료,0,0,0,0,5,5,0,95,0,5,흙향과 따뜻한 향 중심,,
711.01,커민,0,0,0,0,5,5,0,95,0,5,대표적인 따뜻한 향신료,,
711.02,페뉴그릭,0,0,0,5,5,0,0,90,0,5,단향과 쌉쌀함 동반,,
712,달콤한/향긋한 씨앗 향신료,0,0,0,5,0,0,5,95,0,5,달콤하고 향긋한 씨앗 향,,
712.01,펜넬씨,0,0,0,5,0,0,5,95,0,5,아니스 계열 단향,,
712.02,캐러웨이,0,0,0,0,5,0,5,90,0,5,독특한 향과 쌉쌀함,,
712.03,아니스,0,0,0,5,0,0,5,95,0,5,강한 단향 중심,,
712.04,양귀비 씨,0,0,0,0,0,0,0,80,5,5,고소함 중심,,
712.05,참깨,0,0,0,0,0,0,0,75,20,10,지방 성분이 강한 씨앗,,
712.06,들깨,0,10,0,5,5,0,25,25,65,55,고소한 지방감과 풀향을 가진 씨앗 재료,,
712.07,깨소금,10,5,0,0,5,0,10,35,45,60,참깨를 볶고 분쇄한 고소한 향미 재료,,
713,복합/이국적 씨앗 향신료,0,0,0,0,5,5,5,95,0,5,복합 향신 특성,,
713.01,아조완,0,0,0,0,5,5,5,95,0,5,강한 이국적 향,,
720,열매/과실 향신료,0,0,0,0,0,5,0,95,0,5,열매 기반 향신료,,
721,달콤/향긋 열매 향신료,0,0,0,10,0,0,5,95,0,5,달콤한 향 중심,,
721.01,바닐라,0,0,0,90,0,0,0,90,0,5,대표적인 단향 향신료,,
721.02,올스파이스,0,0,0,10,5,5,5,95,0,5,복합 향,,
722,색 중심 열매 향신료,0,0,0,5,0,0,0,90,0,5,색과 향 중심,,
722.01,파프리카,0,0,0,5,0,0,0,90,0,5,"색과 향, 자극 약함",,
723,복합/이국적 열매 향신료,0,0,0,5,0,5,10,95,0,5,강한 이국적 향,,
723.01,팔각(스타아니스),0,0,0,5,0,0,10,95,0,5,감초향 계열,,
723.02,카다몸,0,0,0,5,0,0,10,95,0,5,상쾌하고 강한 향,,
730,뿌리/껍질 향신료,0,0,0,0,5,5,0,95,0,5,뿌리/껍질 기반 향,,
731,따뜻한 뿌리 향신료,0,0,0,0,5,5,0,95,0,5,따뜻한 향,,
731.01,강황,0,0,0,0,5,5,0,90,0,5,흙향과 색 중심,,
732,따뜻한 껍질 향신료,0,0,0,10,5,0,0,95,0,5,달콤한 껍질 향,,
732.01,계피,0,0,0,85,5,0,0,95,0,5,대표 단향 향신료,,
732.02,카시아,0,0,0,80,5,0,0,95,0,5,강한 계피 향,,
733,따뜻한 씨핵/종자 향신료,0,0,0,5,5,0,0,95,0,5,씨핵 중심 향,,
733.01,넛맥,0,0,0,5,5,0,0,95,0,5,따뜻한 향,,
733.02,메이스,0,0,0,5,0,0,0,95,0,5,부드러운 향,,
734,깊은 뿌리/수지 향신료,0,0,0,5,5,0,0,90,0,5,깊고 무거운 향,,
734.01,사사프라스,0,0,0,5,5,0,0,90,0,5,루트비어 계열 향,,
734.02,감초,0,0,0,10,0,0,5,90,0,5,단향 중심,,
734.03,당귀,0,0,0,0,5,0,5,90,0,5,약재 향,,
734.04,사르사파릴라,0,0,0,5,5,0,5,90,0,5,복합 뿌리 향,,
740,꽃/특수 향신료,0,0,0,0,5,0,5,95,0,5,꽃 기반 강한 향,,
741,꽃봉오리 향신료,0,0,0,0,10,5,0,100,0,5,강한 향,,
741.01,정향,0,0,0,0,10,5,0,100,0,5,가장 강한 향신료 중 하나,,
742,암술/꽃 중심 향신료,0,0,0,5,0,0,5,95,0,5,섬세한 향,,
742.01,사프란,0,0,0,5,0,0,5,95,0,5,향과 색 동시 제공,,
743,특수 향신료,0,0,0,10,5,0,0,95,0,5,고유 향 특성,,
743.01,톤카빈,0,0,0,15,5,0,0,95,0,5,바닐라+아몬드 향,,
750,혼합 향신료,0,0,0,5,5,5,5,95,0,10,여러 향신료 조합,,
751,기본 혼합 향신료,0,0,0,5,5,5,5,95,0,10,범용 혼합,,
751.01,카레가루,0,5,0,5,5,10,5,95,0,10,복합 향과 자극,,
751.02,가람마살라,0,0,0,5,5,5,5,95,0,10,따뜻한 향 중심,,
751.03,칠리믹스,0,0,0,5,0,15,5,95,0,10,자극 중심 혼합,,
752,지역/문화 혼합 향신료,0,0,0,5,5,5,5,95,0,10,지역 특화 혼합,,
752.01,자타르,0,0,5,5,5,0,5,95,0,10,허브+산미 혼합,,
752.02,두카,0,0,0,5,5,0,5,90,5,10,견과 포함 혼합,,
753,기능 중심 혼합 향신료,0,0,0,5,5,5,5,90,0,10,특정 요리용,,
753.01,바비큐 시즈닝,0,0,0,10,5,10,5,90,0,10,훈연+단맛,,
753.02,타코 시즈닝,0,0,0,5,5,10,5,90,0,10,자극 중심,,
753.03,양꼬치 시즈닝,0,0,0,5,5,10,5,95,0,10,향신 강도 높음,,
760,추출 향신료,0,0,0,0,0,0,5,95,0,5,향 성분을 추출한 형태,,
761,수용성 추출 향신료,0,0,0,0,0,0,5,90,0,5,물 기반 추출,,
761.01,향신료 육수,0,5,0,0,0,0,5,85,0,5,향이 녹아든 액체,,
761.02,차(허브티),0,0,5,0,0,0,5,80,0,5,향 중심 음용 추출,,
762,알코올 추출 향신료,0,0,0,5,0,0,5,90,0,5,알코올 기반 향 추출,,
762.01,바닐라 익스트랙,0,0,0,50,0,0,0,90,0,5,고농도 향 추출,,
800,지방 시스템,0,0,0,0,0,0,0,0,100,10,풍미를 전달하고 코팅하는 매체,,
810,동물성 지방,0,10,0,0,5,0,0,0,95,20,동물성 풍미가 강한 지방,,
811,라드,0,10,0,0,5,0,0,0,95,25,고소하고 무거운 풍미,,
812,탤로,0,15,0,0,10,0,0,0,95,30,소고기 풍미가 강한 지방,,
813,닭기름,0,15,0,0,5,0,0,0,95,20,부드러운 감칠 풍미,,
814,오리기름,0,15,0,0,5,0,0,0,95,25,진하고 고급스러운 풍미,,
815,어유,0,20,0,0,10,0,0,0,90,15,해산물 감칠 풍미,,
816,베이컨 지방,0,20,0,0,10,5,0,5,95,25,훈연+감칠 복합 풍미,,
817,슈말츠,0,15,0,0,5,0,0,0,95,20,닭기름 기반 유대식 지방,,
820,식물성 오일,0,0,0,0,0,0,0,0,95,15,식물성 기반 지방,,
821,중성 식물성 오일,0,0,0,0,0,0,0,0,95,10,맛 영향이 적은 기본 오일,,
821.00,식용유,0,0,0,0,0,0,0,0,90,35,조리 시 열 전달과 지방감을 형성하는 기본 오일,,
821.01,카놀라유,0,0,0,0,0,0,0,0,95,10,가장 중립적인 오일,,
821.02,콩기름,0,0,0,0,0,0,0,0,95,10,범용 식용유,,
821.03,해바라기유,0,0,0,0,0,0,0,0,95,10,가벼운 식물성 오일,,
821.04,팜유,0,0,0,0,5,0,0,0,95,20,고체감 있는 식물성 지방,,
821.05,옥수수유,0,0,0,0,0,0,0,0,95,10,"맛 영향이 거의 없는 중성 오일, 고온 조리 및 전달용 지방",,
822,향미 오일,0,0,0,0,0,0,10,10,95,15,향을 담아 전달하는 오일,,
822.01,올리브유,0,0,0,5,5,0,10,5,95,15,과일향과 쌉쌀함,,
822.02,참기름,0,0,0,0,5,0,5,10,95,15,고소한 향 중심,,
822.03,들기름,0,0,0,0,5,0,5,10,95,15,강한 고소함,,
822.04,호두유,0,0,0,0,5,0,5,5,95,15,견과 향,,
822.05,호박씨유,0,0,0,0,5,0,5,5,95,15,진한 견과 향,,
822.06,아몬드오일,0,0,0,5,0,0,5,5,95,15,부드러운 단향,,
822.07,트러플오일,0,0,0,0,5,0,10,20,95,10,강한 향 주입 오일,,
822.08,마늘오일,0,5,0,0,5,0,5,10,95,15,마늘 향 전달,,
822.09,칠리오일,0,0,0,0,0,20,5,15,95,20,자극 전달 오일,,
822.10,허브오일,0,0,0,0,0,0,20,10,95,15,허브 향 전달,,
823,특수 식물성 오일,0,0,0,0,0,0,0,0,95,20,기능적 특성 중심 오일,,
823.01,코코넛오일,0,0,0,10,0,0,0,0,95,25,고체감과 단향,,
823.02,포도씨유,0,0,0,0,0,0,0,0,95,10,고온 조리용,,
823.03,아보카도오일,0,0,0,0,0,0,0,0,95,15,고온 안정성,,
830,유제품 지방,0,10,0,5,0,0,0,0,95,25,유제품 기반 지방,,
831,순수 유제품 지방,0,10,0,5,0,0,0,0,95,25,버터 계열,,
831.01,버터,0,15,0,5,0,0,0,0,95,30,감칠과 단향 동시,,
831.02,클래리파이드 버터,0,10,0,0,0,0,0,0,95,25,불순물 제거 지방,,
831.03,기,0,15,0,5,5,0,0,5,95,30,고온 안정 + 깊은 풍미,,
832,크림 기반 지방,0,10,5,5,0,0,0,0,90,30,유화된 지방,,
832.01,생크림,0,10,5,5,0,0,0,0,90,30,부드러운 유화 지방,,
832.02,사워크림,0,10,10,5,0,0,0,0,90,30,산미 포함 지방,,
833,치즈 지방,0,20,0,5,5,0,0,0,90,30,발효된 유제품 지방,,
833.01,치즈,0,25,0,5,5,0,0,0,90,30,강한 감칠 풍미,,
833.02,크림치즈,0,15,5,5,0,0,0,0,90,30,부드러운 질감,,
833.03,마스카포네,0,10,0,10,0,0,0,0,90,30,단맛 중심 지방,,
840,가공 지방,0,0,0,0,0,0,0,0,95,30,기능성 가공 지방,,
841,제과/반죽용 가공 지방,0,0,0,0,0,0,0,0,95,35,구조 형성용 지방,,
841.01,쇼트닝,0,0,0,0,0,0,0,0,95,40,높은 구조 안정성,,
841.02,마가린,0,0,0,5,0,0,0,0,95,35,버터 대체 지방,,
842,혼합 가공 지방,0,5,0,0,0,0,0,0,95,30,복합 블렌드 지방,,
842.01,혼합 지방 블렌드,0,5,0,0,0,0,0,0,95,30,다목적 지방,,
842.02,라드 블렌드,0,10,0,0,0,0,0,0,95,30,동물성 혼합,,
843,정제/안정화 가공 지방,0,0,0,0,0,0,0,0,95,30,안정성 중심 지방,,
843.01,정제 식물성 지방,0,0,0,0,0,0,0,0,95,30,불순물 제거,,
843.02,안정화 지방,0,0,0,0,0,0,0,0,95,30,산화 방지 목적,,
850,유화 시스템,0,5,5,0,0,0,0,0,85,40,지방과 수분이 결합된 구조,,
851,안정 유화 시스템,0,5,5,0,0,0,0,0,85,45,균일하게 유지되는 유화,,
851.01,마요네즈,0,5,5,0,0,0,0,0,90,50,안정 유화 대표,,
851.02,아이올리,0,5,5,0,0,0,5,0,90,50,마늘 향 유화,,
852,불안정 유화 시스템,0,0,10,0,0,0,0,0,80,30,분리되는 유화,,
852.01,비네그레트,0,0,15,0,0,0,0,0,80,25,산미 중심 유화,,
900,식감,0,0,0,0,0,0,0,0,0,100,물리적 식감 카테고리 대표값,,
910,구조 형성,0,0,0,0,0,0,0,0,0,90,형태를 유지하는 골격 형성,,
911,밀가루,0,5,0,0,0,0,0,0,0,90,글루텐 기반 구조 형성,,
911.01,박력분,0,5,0,0,0,0,0,0,0,80,부드러운 구조,,
911.02,중력분,0,5,0,0,0,0,0,0,0,90,균형 구조,,
911.03,강력분,0,5,0,0,0,0,0,0,0,100,강한 구조 형성,,
911.04,통밀가루,0,5,0,0,5,0,0,0,0,85,거친 구조와 식이섬유 포함,,
920,점도 형성,0,0,0,0,0,0,0,0,0,85,흐르면서 끈적이는 질감,,
921,전분,0,0,0,0,0,0,0,0,0,85,가열 시 점도 증가,,
921.01,옥수수전분,0,0,0,0,0,0,0,0,0,90,투명하고 강한 점도,,
921.02,감자전분,0,0,0,0,0,0,0,0,0,95,부드럽고 탄력 있는 점도,,
922,검류,0,0,0,0,0,0,0,0,0,95,소량으로 강한 점도 형성,,
922.01,잔탄검,0,0,0,0,0,0,0,0,0,100,강력한 점도 안정화,,
922.02,펙틴,0,0,5,0,0,0,0,0,0,90,과일 기반 점도 형성,,
930,젤 형성,0,0,0,0,0,0,0,0,0,95,형태를 유지하는 고정 구조,,
931,젤화 재료,0,0,0,0,0,0,0,0,0,95,겔 상태 형성,,
931.01,젤라틴,0,5,0,0,0,0,0,0,0,95,부드러운 탄성 젤,,
931.02,한천,0,0,0,0,0,0,0,0,0,100,단단하고 깨지는 젤,,
940,팽창 형성,0,0,0,0,0,0,0,0,0,85,기체 형성으로 부피 증가,,
941,팽창 재료,0,0,0,0,0,0,0,0,0,85,기포 생성,,
941.01,베이킹파우더,0,0,0,0,0,0,0,0,0,85,화학적 팽창,,
941.02,이스트,0,5,0,0,0,0,0,0,0,90,발효 기반 팽창,,
950,표면 구조 형성,0,0,0,0,0,0,0,0,5,90,외피/코팅/바삭함 형성,,
951,코팅 재료,0,0,0,0,0,0,0,0,5,90,외부 식감 형성,,
951.01,튀김가루,0,0,0,0,0,0,0,0,10,95,바삭한 외피 형성,,
951.02,부침가루,0,0,0,0,0,0,0,0,5,85,부드러운 코팅,,
951.03,빵가루,0,0,0,0,0,0,0,0,5,100,강한 크런치 구조,,
